task_id,architecture_type,num_agents,num_edges,num_turns,graph_density,avg_degree,clustering_coefficient,num_cycles,loop_index,agent_dependency_ratio,communication_entropy,longest_path_length,avg_path_length,has_planner,has_worker,has_critic,has_verifier,has_manager,has_tool,has_environment,has_user,has_assistant
0,iterative_refinement,6,13,25,0.43333333333333335,4.333333333333333,0.0,8,0.6153846153846154,0.2692307692307692,3.4602128429546544,0,1.8666666666666667,False,False,True,False,False,False,False,False,False
1,iterative_refinement,6,13,25,0.43333333333333335,4.333333333333333,0.0,8,0.6153846153846154,0.2692307692307692,3.4602128429546544,0,1.8666666666666667,False,False,True,False,False,False,False,False,False
2,iterative_refinement,6,13,26,0.43333333333333335,4.333333333333333,0.0,8,0.6153846153846154,0.2692307692307692,3.470718577260286,0,1.8666666666666667,False,False,True,False,False,False,False,False,False
3,iterative_refinement,6,13,25,0.43333333333333335,4.333333333333333,0.0,8,0.6153846153846154,0.2692307692307692,3.4602128429546544,0,1.8666666666666667,False,False,True,False,False,False,False,False,False
4,iterative_refinement,7,15,30,0.35714285714285715,4.285714285714286,0.0,9,0.6,0.3,3.587383068195294,0,2.0,False,False,True,False,False,False,False,False,False
5,iterative_refinement,6,13,25,0.43333333333333335,4.333333333333333,0.0,8,0.6153846153846154,0.2692307692307692,3.4602128429546544,0,1.8666666666666667,False,False,True,False,False,False,False,False,False
6,iterative_refinement,6,13,25,0.43333333333333335,4.333333333333333,0.0,8,0.6153846153846154,0.2692307692307692,3.4602128429546544,0,1.8666666666666667,False,False,True,False,False,False,False,False,False
7,iterative_refinement,6,13,25,0.43333333333333335,4.333333333333333,0.0,8,0.6153846153846154,0.2692307692307692,3.4602128429546544,0,1.8666666666666667,False,False,True,False,False,False,False,False,False
8,iterative_refinement,6,13,25,0.43333333333333335,4.333333333333333,0.0,8,0.6153846153846154,0.2692307692307692,3.4602128429546544,0,1.8666666666666667,False,False,True,False,False,False,False,False,False
9,iterative_refinement,6,13,25,0.43333333333333335,4.333333333333333,0.0,8,0.6153846153846154,0.2692307692307692,3.4602128429546544,0,1.8666666666666667,False,False,True,False,False,False,False,False,False
